iobj iorder X Lambda Mask
006 00 2025.220 6207.2201 1
006 00 2033.340 6207.7504 1
007 00 1229.350 6150.6830 1
007 00 1246.570 6151.9929 1
007 00 1274.010 6154.0682 1
007 00 1279.770 6154.5162 1
007 00 1293.870 6155.5810 1
007 00 1313.940 6157.0878 1
007 00 1371.030 6161.3534 1
007 00 1413.260 6164.4796 1
007 00 1485.860 6169.8221 1
007 00 1490.870 6170.1740 0
007 00 1519.550 6172.2778 1
007 00 1530.820 6173.0964 1
007 00 1604.650 6178.4315 1
007 00 1624.740 6179.8488 0
007 00 1636.350 6180.7050 1
007 00 1663.290 6182.6217 1
007 00 1726.960 6187.1350 1
007 00 1741.130 6188.1251 1
007 00 1755.550 6189.1449 1
007 00 1795.270 6191.9053 1
007 00 1823.390 6193.8563 1
007 00 1844.380 6195.3210 1
007 00 1860.450 6196.3965 0
007 00 1886.780 6198.2227 1
007 00 1919.190 6200.4325 1
007 00 1929.130 6201.1002 1
007 00 1964.320 6203.4925 1
007 00 1974.020 6204.1281 0
007 00 1999.560 6205.8599 1
007 00 2019.770 6207.2201 1
007 00 2027.890 6207.7504 1
007 00 2041.820 6208.6869 1
008 00 1068.860 6138.6465 1
008 00 1156.710 6145.4411 1
008 00 1225.420 6150.6830 1
008 00 1242.590 6151.9929 1
008 00 1270.030 6154.0682 1
008 00 1275.750 6154.5162 1
008 00 1289.900 6155.5810 1
008 00 1309.930 6157.0878 1
008 00 1366.980 6161.3534 1
008 00 1378.330 6162.1700 0
008 00 1409.190 6164.4796 1
008 00 1481.730 6169.8221 1
008 00 1486.680 6170.1740 1
008 00 1515.420 6172.2778 1
008 00 1526.680 6173.0964 1
008 00 1600.490 6178.4315 1
008 00 1620.540 6179.8488 0
008 00 1632.180 6180.7050 1
008 00 1659.060 6182.6217 1
008 00 1722.850 6187.1350 1
008 00 1736.840 6188.1251 1
008 00 1751.340 6189.1449 1
008 00 1790.930 6191.9053 1
008 00 1818.910 6193.8563 1
008 00 1840.210 6195.3210 1
008 00 1855.790 6196.3965 1
008 00 1882.430 6198.2227 1
008 00 1914.780 6200.4325 1
008 00 1924.630 6201.1002 1
008 00 1959.800 6203.4925 1
008 00 1969.290 6204.1281 1
008 00 1985.870 6205.2561 1
008 00 1994.950 6205.8599 1
008 00 2015.250 6207.2201 1
008 00 2023.370 6207.7504 0
008 00 2037.220 6208.6869 1
008 00 2041.540 6208.9861 0
009 00 1065.100 6138.6465 1
009 00 1152.840 6145.2833 0
009 00 1221.530 6150.6830 1
009 00 1238.700 6151.9929 1
009 00 1266.120 6154.0682 1
009 00 1271.830 6154.5162 1
009 00 1281.620 6155.2385 1
009 00 1285.960 6155.5810 1
009 00 1306.010 6157.0878 1
009 00 1363.010 6161.3534 1
009 00 1374.280 6162.1700 1
009 00 1405.170 6164.4796 1
009 00 1477.740 6169.8221 1
009 00 1511.350 6172.2778 1
009 00 1522.630 6173.0964 1
009 00 1596.360 6178.4315 1
009 00 1616.310 6179.8488 1
009 00 1628.040 6180.7050 1
009 00 1654.950 6182.6217 1
009 00 1718.690 6187.1350 1
009 00 1732.730 6188.1251 1
009 00 1747.030 6189.1449 0
009 00 1786.750 6191.9053 1
009 00 1814.810 6193.8563 1
009 00 1836.260 6195.3210 1
009 00 1851.780 6196.3965 1
009 00 1878.090 6198.2227 1
009 00 1910.590 6200.4325 1
009 00 1920.350 6201.1002 1
009 00 1955.550 6203.4925 1
009 00 1964.970 6204.1281 1
009 00 1981.860 6205.2561 1
009 00 1990.690 6205.8599 1
009 00 2010.890 6207.2201 1
009 00 2019.000 6207.7504 1
009 00 2032.780 6208.6869 1
009 00 2036.830 6208.9861 0
010 00 1062.440 6138.6465 1
010 00 1150.190 6145.4411 1
010 00 1218.780 6150.6830 1
010 00 1235.980 6151.9929 1
010 00 1263.430 6154.0682 1
010 00 1269.160 6154.5162 1
010 00 1278.860 6155.2385 1
010 00 1283.230 6155.5810 1
010 00 1303.300 6157.0878 1
010 00 1360.320 6161.3534 1
010 00 1371.580 6162.1700 0
010 00 1402.450 6164.4796 1
010 00 1474.910 6169.8221 1
010 00 1479.990 6170.1740 0
010 00 1508.580 6172.2778 1
010 00 1519.770 6173.0964 1
010 00 1593.580 6178.4315 1
010 00 1613.740 6179.8488 0
010 00 1625.220 6180.7050 1
010 00 1652.020 6182.6217 1
010 00 1715.790 6187.1350 1
010 00 1729.830 6188.1251 1
010 00 1744.260 6189.1449 1
010 00 1783.840 6191.9053 1
010 00 1811.880 6193.8563 1
010 00 1832.650 6195.3210 0
010 00 1848.730 6196.3965 1
010 00 1875.200 6198.2227 1
010 00 1907.560 6200.4325 1
010 00 1917.190 6201.1002 1
010 00 1952.570 6203.4925 1
010 00 1962.010 6204.1281 1
010 00 1987.690 6205.8599 1
010 00 2007.870 6207.2201 1
010 00 2016.080 6207.7504 1
010 00 2029.910 6208.6869 1
011 00 1061.270 6138.6465 1
011 00 1148.980 6145.4411 1
011 00 1217.640 6150.6830 1
011 00 1234.810 6151.9929 1
011 00 1262.180 6154.0682 1
011 00 1267.910 6154.5162 0
011 00 1277.770 6155.2385 1
011 00 1282.050 6155.5810 1
011 00 1302.090 6157.0878 1
011 00 1359.160 6161.3534 1
011 00 1370.190 6162.1700 1
011 00 1401.240 6164.4796 1
011 00 1473.790 6169.8221 1
011 00 1478.910 6170.1740 0
011 00 1507.390 6172.2778 1
011 00 1518.670 6173.0964 1
011 00 1592.380 6178.4315 1
011 00 1612.320 6179.8488 0
011 00 1623.970 6180.7050 1
011 00 1650.910 6182.6217 1
011 00 1714.740 6187.1350 1
011 00 1728.660 6188.1251 1
011 00 1743.070 6189.1449 1
011 00 1782.690 6191.9053 1
011 00 1810.800 6193.8563 1
011 00 1831.870 6195.3210 1
011 00 1847.490 6196.3965 1
011 00 1873.980 6198.2227 1
011 00 1906.310 6200.4325 1
011 00 1916.040 6201.1002 1
011 00 1951.350 6203.4925 1
011 00 1960.870 6204.1281 1
011 00 1977.460 6205.2561 1
011 00 1986.490 6205.8599 1
011 00 2006.710 6207.2201 1
011 00 2014.810 6207.7504 1
011 00 2028.660 6208.6869 1
012 00 1059.950 6138.6465 1
012 00 1147.670 6145.4411 1
012 00 1216.300 6150.6830 1
012 00 1233.520 6151.9929 1
012 00 1260.900 6154.0682 1
012 00 1266.630 6154.5162 1
012 00 1276.370 6155.2385 1
012 00 1280.780 6155.5810 1
012 00 1300.810 6157.0878 1
012 00 1357.820 6161.3534 1
012 00 1399.970 6164.4796 1
012 00 1409.190 6165.1232 0
012 00 1472.480 6169.8221 1
012 00 1477.040 6170.1740 0
012 00 1506.090 6172.2778 1
012 00 1517.350 6173.0964 1
012 00 1591.090 6178.4315 1
012 00 1611.130 6179.8488 0
012 00 1622.810 6180.7050 1
012 00 1649.650 6182.6217 1
012 00 1713.320 6187.1350 1
012 00 1727.380 6188.1251 1
012 00 1741.830 6189.1449 1
012 00 1781.350 6191.9053 1
012 00 1809.400 6193.8563 1
012 00 1830.580 6195.3210 1
012 00 1846.530 6196.3965 0
012 00 1872.810 6198.2227 1
012 00 1905.110 6200.4325 1
012 00 1914.960 6201.1002 1
012 00 1950.020 6203.4925 1
012 00 1959.520 6204.1281 1
012 00 1976.250 6205.2561 1
012 00 1985.280 6205.8599 1
012 00 2005.490 6207.2201 1
012 00 2013.740 6207.7504 0
012 00 2027.430 6208.6869 1
013 00 1059.710 6138.6465 1
013 00 1138.380 6144.7581 0
013 00 1147.480 6145.4411 1
013 00 1216.160 6150.6830 1
013 00 1233.310 6151.9929 1
013 00 1260.730 6154.0682 1
013 00 1266.500 6154.5162 1
013 00 1276.200 6155.2385 1
013 00 1280.620 6155.5810 1
013 00 1300.660 6157.0878 1
013 00 1357.680 6161.3534 1
013 00 1368.870 6162.1700 0
013 00 1379.540 6162.9699 1
013 00 1399.810 6164.4796 1
013 00 1408.860 6165.1232 0
013 00 1472.350 6169.8221 1
013 00 1477.210 6170.1740 1
013 00 1505.980 6172.2778 1
013 00 1517.240 6173.0964 1
013 00 1590.970 6178.4315 1
013 00 1610.950 6179.8488 0
013 00 1622.640 6180.7050 1
013 00 1649.550 6182.6217 1
013 00 1713.220 6187.1350 1
013 00 1727.270 6188.1251 1
013 00 1741.690 6189.1449 1
013 00 1781.300 6191.9053 1
013 00 1809.260 6193.8563 1
013 00 1830.710 6195.3210 1
013 00 1846.300 6196.3965 1
013 00 1872.710 6198.2227 1
013 00 1905.070 6200.4325 1
013 00 1914.960 6201.1002 1
013 00 1950.010 6203.4925 1
013 00 1959.370 6204.1281 1
013 00 1976.070 6205.2561 1
013 00 1985.170 6205.8599 1
013 00 2005.410 6207.2201 1
013 00 2013.420 6207.7504 1
013 00 2027.400 6208.6869 1
013 00 2031.720 6208.9861 1
014 00 1061.090 6138.6465 1
014 00 1148.820 6145.4411 1
014 00 1217.520 6150.6830 1
014 00 1234.700 6151.9929 1
014 00 1262.150 6154.0682 1
014 00 1267.900 6154.5162 1
014 00 1277.690 6155.2385 1
014 00 1281.980 6155.5810 1
014 00 1302.050 6157.0878 1
014 00 1359.030 6161.3534 1
014 00 1370.350 6162.1700 1
014 00 1381.000 6162.9699 1
014 00 1401.280 6164.4796 1
014 00 1410.430 6165.1232 0
014 00 1473.850 6169.8221 1
014 00 1478.970 6170.1740 0
014 00 1507.490 6172.2778 1
014 00 1518.760 6173.0964 1
014 00 1592.580 6178.4315 1
014 00 1612.580 6179.8488 0
014 00 1624.230 6180.7050 1
014 00 1651.110 6182.6217 1
014 00 1714.840 6187.1350 1
014 00 1728.930 6188.1251 1
014 00 1743.470 6189.1449 1
014 00 1782.990 6191.9053 1
014 00 1811.030 6193.8563 1
014 00 1832.170 6195.3210 1
014 00 1847.910 6196.3965 1
014 00 1874.420 6198.2227 1
014 00 1906.870 6200.4325 1
014 00 1916.550 6201.1002 1
014 00 1951.880 6203.4925 1
014 00 1961.040 6204.1281 1
014 00 1977.880 6205.2561 1
014 00 1987.000 6205.8599 1
014 00 2007.220 6207.2201 1
014 00 2015.360 6207.7504 1
014 00 2029.220 6208.6869 1
014 00 2033.600 6208.9861 1
015 00 1064.070 6138.6465 1
015 00 1151.990 6145.4411 1
015 00 1220.740 6150.6830 1
015 00 1237.900 6151.9929 1
015 00 1265.400 6154.0682 1
015 00 1271.120 6154.5162 1
015 00 1280.830 6155.2385 1
015 00 1285.340 6155.5810 1
015 00 1305.380 6157.0878 1
015 00 1362.420 6161.3534 1
015 00 1373.680 6162.1700 1
015 00 1384.470 6162.9699 1
015 00 1404.630 6164.4796 1
015 00 1413.690 6165.1232 0
015 00 1477.330 6169.8221 1
015 00 1482.290 6170.1740 1
015 00 1510.980 6172.2778 1
015 00 1522.310 6173.0964 1
015 00 1596.130 6178.4315 1
015 00 1616.160 6179.8488 0
015 00 1627.810 6180.7050 1
015 00 1654.730 6182.6217 1
015 00 1718.580 6187.1350 1
015 00 1732.640 6188.1251 1
015 00 1747.130 6189.1449 1
015 00 1786.750 6191.9053 1
015 00 1814.870 6193.8563 1
015 00 1835.890 6195.3210 1
015 00 1851.620 6196.3965 1
015 00 1878.350 6198.2227 1
015 00 1910.700 6200.4325 1
015 00 1920.670 6201.1002 0
015 00 1955.780 6203.4925 1
015 00 1965.010 6204.1281 1
015 00 1981.780 6205.2561 1
015 00 1991.150 6205.8599 1
015 00 2011.320 6207.2201 1
016 00 1065.560 6138.6465 1
016 00 1153.470 6145.4411 1
016 00 1222.270 6150.6830 1
016 00 1239.470 6151.9929 1
016 00 1266.890 6154.0682 1
016 00 1272.620 6154.5162 1
016 00 1282.470 6155.2385 1
016 00 1286.820 6155.5810 1
016 00 1306.870 6157.0878 1
016 00 1363.970 6161.3534 1
016 00 1375.290 6162.1700 0
016 00 1385.770 6162.9699 1
016 00 1406.270 6164.4796 1
016 00 1415.490 6165.1232 0
016 00 1478.900 6169.8221 1
016 00 1483.860 6170.1740 1
016 00 1512.660 6172.2778 1
016 00 1523.920 6173.0964 1
016 00 1597.820 6178.4315 1
016 00 1617.880 6179.8488 0
016 00 1629.560 6180.7050 1
016 00 1656.520 6182.6217 1
016 00 1720.350 6187.1350 1
016 00 1734.450 6188.1251 1
016 00 1748.850 6189.1449 1
016 00 1788.580 6191.9053 1
016 00 1816.680 6193.8563 1
016 00 1838.180 6195.3210 0
016 00 1853.550 6196.3965 1
016 00 1880.170 6198.2227 1
016 00 1912.660 6200.4325 1
016 00 1922.450 6201.1002 1
016 00 1957.720 6203.4925 1
016 00 1967.200 6204.1281 1
016 00 1983.780 6205.2561 1
016 00 1992.940 6205.8599 1
016 00 2013.240 6207.2201 1
017 00 1068.770 6138.6465 1
017 00 1147.660 6144.7581 0
017 00 1156.810 6145.4411 1
017 00 1225.650 6150.6830 1
017 00 1242.860 6151.9929 1
017 00 1270.380 6154.0682 1
017 00 1276.130 6154.5162 1
017 00 1285.880 6155.2385 1
017 00 1290.340 6155.5810 1
017 00 1310.420 6157.0878 1
017 00 1367.560 6161.3534 1
017 00 1378.840 6162.1700 0
017 00 1389.520 6162.9699 1
017 00 1409.850 6164.4796 1
017 00 1418.970 6165.1232 0
017 00 1482.590 6169.8221 1
017 00 1487.490 6170.1740 1
017 00 1516.390 6172.2778 1
017 00 1527.640 6173.0964 1
017 00 1601.620 6178.4315 1
017 00 1621.630 6179.8488 1
017 00 1633.440 6180.7050 1
017 00 1660.430 6182.6217 1
017 00 1724.410 6187.1350 1
017 00 1738.420 6188.1251 1
017 00 1752.910 6189.1449 1
017 00 1792.590 6191.9053 1
017 00 1820.740 6193.8563 1
017 00 1841.900 6195.3210 1
017 00 1857.670 6196.3965 1
017 00 1884.360 6198.2227 1
017 00 1916.770 6200.4325 1
017 00 1926.570 6201.1002 1
017 00 1961.990 6203.4925 1
017 00 1971.330 6204.1281 1
017 00 1988.320 6205.2561 1
017 00 1997.290 6205.8599 1
017 00 2017.540 6207.2201 1
017 00 2025.660 6207.7504 1
017 00 2039.590 6208.6869 1
017 00 2043.910 6208.9861 0
018 00 1073.340 6138.6465 1
018 00 1161.440 6145.4411 1
018 00 1230.370 6150.6830 1
