iobj iorder itetris Ycen L X Y
4 0 1.0 364.96924003305435 5158.604 1070.019122289284 337.4723756493785
4 0 1.0 364.96924003305435 5161.54 1115.0459504459461 338.50137670876126
4 0 1.0 364.96924003305435 5162.285 1126.567774181639 338.7346139600472
4 0 1.0 364.96924003305435 5163.458 1144.6205852641895 339.07681840268475
4 0 1.0 364.96924003305435 5164.401 1158.4384652660115 339.25448630926144
4 0 1.0 364.96924003305435 5165.773 1180.0394203279182 339.6357026348025
4 0 1.0 364.96924003305435 5168.922 1229.5875351280824 340.65091140075447
4 0 1.0 364.96924003305435 5173.672 1304.4861127145882 341.8619418003195
4 0 1.0 364.96924003305435 5174.799 1321.705888354529 342.1382254623128
4 0 1.0 364.96924003305435 5175.325 1330.4241231426968 342.23483881771705
4 0 1.0 364.96924003305435 5176.961 1356.4421102649194 342.61348770626955
4 0 1.0 364.96924003305435 5177.623 1366.5733783502278 342.7169483346247
4 0 1.0 364.96924003305435 5178.48 1380.109121260577 342.875162847855
4 0 1.0 364.96924003305435 5182.527 1445.5974036373475 343.55248543884574
4 0 1.0 364.96924003305435 5183.99 1469.3266665026536 343.74324721024976
4 0 1.0 364.96924003305435 5184.453 1477.332070938751 343.8777998125224
4 0 1.0 364.96924003305435 5186.413 1508.6558214105435 344.10406941555686
4 0 1.0 364.96924003305435 5187.746 1530.5294380290984 344.24128240318583
4 0 1.0 364.96924003305435 5190.872 1581.7674008840004 344.5590244386752
4 0 1.0 364.96924003305435 5193.826 1630.88255816332 344.8246242437036
4 0 1.0 364.96924003305435 5194.458 1641.2574032069672 344.7572499157589
4 0 1.0 364.96924003305435 5195.814 1663.859779883223 344.8661378089534
4 0 1.0 364.96924003305435 5198.8 1714.0272334120984 344.92190480603415
4 0 1.0 364.96924003305435 5199.164 1720.3303462700865 344.8935763490837
4 0 1.0 364.96924003305435 5203.848 1800.458094389229 344.78902809369595
4 0 1.0 364.96924003305435 5205.152 1822.0321635761327 344.7043668832554
4 0 1.0 364.96924003305435 5206.496 1845.9456450175903 344.65460231316104
4 0 1.0 364.96924003305435 5209.725 1901.003835951434 344.37594263473414
4 0 1.0 364.96924003305435 5211.23 1927.2707914685566 344.21072520707065
4 0 1.0 364.96924003305435 5213.349 1964.6566526565653 343.838025683263
4 0 1.0 364.96924003305435 5216.597 2022.3290830918445 343.32766471623887
5 0 1.0 415.12415180731375 5140.774 798.1495733493401 380.38478109210797
5 0 1.0 415.12415180731375 5141.265 804.9682850677633 380.92088564280226
5 0 1.0 415.12415180731375 5141.783 813.2535387797473 380.78232287165275
5 0 1.0 415.12415180731375 5143.267 835.5193207087532 381.49624503769695
5 0 1.0 415.12415180731375 5143.917 844.7625353617717 381.7927771884711
5 0 1.0 415.12415180731375 5145.308 865.4031230230561 382.4243216362954
5 0 1.0 415.12415180731375 5146.056 876.8290359486742 383.1978965069982
5 0 1.0 415.12415180731375 5148.212 908.8160558843571 383.7205078106622
5 0 1.0 415.12415180731375 5149.207 923.8497649468771 384.47062424955794
5 0 1.0 415.12415180731375 5151.612 959.9239739164531 385.0095086641482
5 0 1.0 415.12415180731375 5154.243 999.7470890157493 386.0710644536646
5 0 1.0 415.12415180731375 5158.604 1066.0624597198816 387.6208850738794
5 0 1.0 415.12415180731375 5161.54 1111.0686783295737 388.63481824574575
5 0 1.0 415.12415180731375 5162.285 1122.5985858645568 388.8754959205883
5 0 1.0 415.12415180731375 5163.458 1140.5950280353802 389.2696216486111
5 0 1.0 415.12415180731375 5164.401 1154.5108301346213 389.95899087865274
5 0 1.0 415.12415180731375 5165.773 1176.1857910751883 390.0754344627657
5 0 1.0 415.12415180731375 5168.587 1220.0059425832403 390.9730249142019
5 0 1.0 415.12415180731375 5168.922 1225.5188913379768 390.9085318158955
5 0 1.0 415.12415180731375 5173.672 1300.315819825797 392.0335683265098
5 0 1.0 415.12415180731375 5174.799 1317.5276663133131 392.285688308604
5 0 1.0 415.12415180731375 5175.325 1326.2119708585083 392.4215687982448
5 0 1.0 415.12415180731375 5176.961 1352.2676186358483 392.69596032833533
5 0 1.0 415.12415180731375 5177.623 1362.3887962154063 392.8799651123941
5 0 1.0 415.12415180731375 5178.48 1375.9246393747906 392.9908064060207
5 0 1.0 415.12415180731375 5182.527 1441.5099349707687 393.6538006483583
5 0 1.0 415.12415180731375 5183.99 1465.1367786899764 393.92475687965737
5 0 1.0 415.12415180731375 5184.453 1472.9814844662856 393.97765713156946
5 0 1.0 415.12415180731375 5186.413 1504.3502600001918 394.20833388957044
5 0 1.0 415.12415180731375 5187.337 1519.5289489844122 394.3869896265762
5 0 1.0 415.12415180731375 5187.746 1526.125044035678 394.46138723767115
5 0 1.0 415.12415180731375 5190.872 1577.4366053221752 394.56085543860934
5 0 1.0 415.12415180731375 5193.826 1626.4640532385108 394.9497740871781
5 0 1.0 415.12415180731375 5194.458 1636.8158466908324 394.98328013014196
5 0 1.0 415.12415180731375 5195.814 1659.38616268347 395.0168287387523
5 0 1.0 415.12415180731375 5198.8 1709.5160491954693 395.0883120017527
5 0 1.0 415.12415180731375 5199.164 1715.7838584507906 395.1096739774417
5 0 1.0 415.12415180731375 5205.152 1817.4511867225954 394.9338207982724
5 0 1.0 415.12415180731375 5206.496 1841.2572448536541 394.8211732520439
5 0 1.0 415.12415180731375 5209.725 1896.3063353872046 394.52424827973385
5 0 1.0 415.12415180731375 5211.23 1922.5503673162257 394.4403376460109
5 0 1.0 415.12415180731375 5213.349 1959.8565006183073 394.10185245626906
5 0 1.0 415.12415180731375 5216.597 2017.5206432428267 393.6588090045105
6 0 1.0 465.488621778867 5140.774 794.5750550147038 430.6659362917492
6 0 1.0 465.488621778867 5141.265 801.9163391359597 431.0144815485435
6 0 1.0 465.488621778867 5141.783 809.7415013028384 431.1479967291133
6 0 1.0 465.488621778867 5143.267 831.9868998761999 431.9360547257086
6 0 1.0 465.488621778867 5143.917 841.2473326576786 432.08162825085435
6 0 1.0 465.488621778867 5145.308 861.8482547447403 432.7904504680573
6 0 1.0 465.488621778867 5146.056 873.1023649147728 433.34934681985607
6 0 1.0 465.488621778867 5148.212 905.2694045650799 434.01794465149374
6 0 1.0 465.488621778867 5149.207 920.1874528419653 434.65714115430393
6 0 1.0 465.488621778867 5151.612 956.3047504872043 435.36370185805356
6 0 1.0 465.488621778867 5154.243 996.1243521554917 436.3728902523491
6 0 1.0 465.488621778867 5158.604 1062.3768812643211 437.92710381357523
6 0 1.0 465.488621778867 5161.54 1107.340786491179 438.9123588709938
6 0 1.0 465.488621778867 5162.285 1118.8381073088372 439.1946259253934
6 0 1.0 465.488621778867 5163.458 1136.8627522211543 439.58060748429483
6 0 1.0 465.488621778867 5164.401 1150.7237100592208 440.26813216952684
6 0 1.0 465.488621778867 5165.773 1172.3460336418345 440.55127796724895
6 0 1.0 465.488621778867 5166.655 1187.559804940272 441.09183874610653
6 0 1.0 465.488621778867 5168.587 1216.1984190471487 441.1459250168433
